Texto,Categoria,Subcategoria,Sentimiento,Autor
La estrategia de Aragonès muestra sus debilidades en el Parlament,Política,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial.",Neutro,
L'estrategia d'Aragonès mostra les seves debilitats al Parlament,Política,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial.",Neutro,
Aragonès planta a Sánchez y confirma que no asistirá a la Conferencia de Presidentes,Política,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial.",Negativo,
Aragonès planta a Sànchez i confirma que no assistirà a la Coferència de Presidents,Política,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial.",Negativo,
El Rey reanuda su agenda tras el covid con luto por los pescadores fallecidos,Política,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial.",Positivo,
El Rei repren la seva agenda desprès del covid amb dol pels pescadors morts,Política,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial.",Positivo,
Illa confia que Barcelona pugui retenir el MWC més enllà del 2030 si les coses es fan ben fetes,Política,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial.",Positivo,
Illa confía que Barcelona pueda retener el MWC más allá del 2030 si las cosas se hacen bien hechas,Política,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial.",Positivo,
El govern espanyol confia a tenir operativa l'empresa pública tecnològica a partir del maig,Política,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial.",Positivo,
El gobierno español confia tener operativa la empresa pública tecnológica a partir de mayo,Política,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial.",Positivo,
El Rey rinde homenaje a las mujeres juristas,Política,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial.",Positivo,
El Rei rendeix homenatge a les dones juristes,Política,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial.",Positivo,
El Govern no descarta decretar un aumento de los servicios mínimos ante la huelga en caso de necesidad,Política,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial.",Positivo,
El Govern no descarta decretar un augment dels serveis mínims amb motiu de la vaga en cas de necessitat,Política,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial.",Positivo,
El Govern remarca que con los indultos se abre una nueva etapa de diálogo,Política,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial.",Neutro,
El Gover remarca que amb els indults s'obre una nova etapa de diàleg,Política,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial.",Neutro,
Pere Aragonès no está presente en la recepción al rey en el Mobile World Congress de Barcelon,Política,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial.",Negativo,
Pere Aragonès no està present a la recepció del rei al Mobile World Congress de Barcelona,Política,"Funcionamiento Institucional : Acciones de gobierno locales, autonómicas, ministeriales, gubernamentales, rey, órganos de gobierno poder judicial.",Negativo,
¿Lo imposible o lo viable? La reconversión independentista,Política,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …",Neutro,
Allò impossible o allò viable? la reconversió independentista,Política,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …",Neutro,
Feijóo sobre el pacto de inmigración: Es la cesión más grave,Política,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …",Neutro,
Feijóo sobre el pacte d'inmigració: és la cessió més greu,Política,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …",,
Òmnium Cultural reparte trípticos sobre el proceso independentista en el Mobile World Congress,Política,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …",Neutro,
Omnium Cultural reparteix tríptics sobre el procés independentista al Mobile World Congress,Política,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …",Neutro,
"Unió Europea, cap on vas?",Política,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …",Neutro,
"Unión Europea, ¿dónde vas?",Política,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …",Neutro,
El PSC promoverá una resolución de apoyo al congreso y carga contra Colau,Política,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …",Neutro,
El PSC promourà una ressolució de suport al congrés i carrega contra Colau,Política,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …",Neutro,
José Manuel Soria espera que el PSOE opte por una coalición con el PP y no haya elecciones,Política,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …",Neutro,
José Manuel Soria espera que el PSOE opti per una coalició amb el PP i no hi hagi eleccions,Política,"Debate Partidista: Interno y externo, fuera y dentro de los partidos, dentro y fuera del parlamento, todo tipo de noticias sobre elecciones, sondeos …",Neutro,
Aragonès y Colau eluden recibir al Rey antes de la cena del MWC,Política,"Crisis de Poderes: Conflictos de poderes, ejecutivo-judicial,autonómico, local..",Negativo,
Aragonès i Colau eviten rebre al Rei abans del sopar del MWC,Política,"Crisis de Poderes: Conflictos de poderes, ejecutivo-judicial,autonómico, local..",Negativo,
Carmena deja sola a Cifuentes en su idea de arrebatar el MWC a Barcelona,Política,"Crisis de Poderes: Conflictos de poderes, ejecutivo-judicial,autonómico, local..",Neutro,
Carmena deixa sola a Cifuentes en la seva idea d'arrabassar el MWC a Barcelona,Política,"Crisis de Poderes: Conflictos de poderes, ejecutivo-judicial,autonómico, local..",Neutro,
Pancartas en favor de los presos del 1-O en un acto del presidente del TC en Madrid y la ministra Delgado,Política,"Crisis de Poderes: Conflictos de poderes, ejecutivo-judicial,autonómico, local..",,
Pancartes en favor dels presos del 1-O en un acte del president del TC a Madridy la ministra Delgado,Política,"Crisis de Poderes: Conflictos de poderes, ejecutivo-judicial,autonómico, local..",,
El conflicto entre EE.UU. y China por Huawei y el 5G es el primer episodio de una pugna que puede durar años,Política,"Conflictos Externos: Participación española en conflictos externos internacionales y conflictos políticos bilaterales (Gibraltar, Marruecos,...) conflictos diplomáticos....",Negativo,
El conflicte entre els EUA i Xina per Huawei i el 5G és el primer episodi d'una pugna que pot durar anys,Política,"Conflictos Externos: Participación española en conflictos externos internacionales y conflictos políticos bilaterales (Gibraltar, Marruecos,...) conflictos diplomáticos....",Negativo,
España retrocede dos puestos en el ranking de innovación de la UE,Política,"Conflictos Externos: Participación española en conflictos externos internacionales y conflictos políticos bilaterales (Gibraltar, Marruecos,...) conflictos diplomáticos....",Negativo,
Espanya retrocedeix dues posicions en el rànking d'innovació de la UE,Política,"Conflictos Externos: Participación española en conflictos externos internacionales y conflictos políticos bilaterales (Gibraltar, Marruecos,...) conflictos diplomáticos....",Negativo,
El Mobile engega amb un missatge de suport a Ucraïna,Política,"Conflictos Externos: Participación española en conflictos externos internacionales y conflictos políticos bilaterales (Gibraltar, Marruecos,...) conflictos diplomáticos....",Positivo,
El Mobile arranca con un mensaje de apoyo a Ucrania,Política,"Conflictos Externos: Participación española en conflictos externos internacionales y conflictos políticos bilaterales (Gibraltar, Marruecos,...) conflictos diplomáticos....",Positivo,
Collboni evita condemnar la participació d'Israel al Mobile,Política,"Conflictos Externos: Participación española en conflictos externos internacionales y conflictos políticos bilaterales (Gibraltar, Marruecos,...) conflictos diplomáticos....",Neutro,
Collboni evita condenar la participación de Israel en la Mobile,Política,"Conflictos Externos: Participación española en conflictos externos internacionales y conflictos políticos bilaterales (Gibraltar, Marruecos,...) conflictos diplomáticos....",Neutro,
Collboni cree que la querella contra Colau por las subvenciones quedará en nada,Política,Corrupción y Escándalo: Hacen referencia a todo tipo de noticias de corrupción política,Neutro,
Collboni creu que la querella contra Colau per les subvencions quedarà en no res,Política,Corrupción y Escándalo: Hacen referencia a todo tipo de noticias de corrupción política,Neutro,
"Junqueras libre, ¿Puigdemont vuelve?",Política,Corrupción y Escándalo: Hacen referencia a todo tipo de noticias de corrupción política,Neutro,
"Junqueras lluire, Puigdemont torna?",Política,Corrupción y Escándalo: Hacen referencia a todo tipo de noticias de corrupción política,Neutro,
Soria tras la detención de Alfonso Grau: Cada cual debe responder ante la Justicia,Política,Corrupción y Escándalo: Hacen referencia a todo tipo de noticias de corrupción política,Neutro,
Soria desprès de la detenció d'Alfons Grau: Cadascú deu respondre davant de la Justícia,Política,Corrupción y Escándalo: Hacen referencia a todo tipo de noticias de corrupción política,Neutro,
Apostemos por la tecnología como motor económico,Economía,Política Económica. Acciones económicas de las administraciones o de los agentes económicos encaminadas a la mejoría de la situación económica,Positivo,
Apostem per la tecnologia com a motor econòmic,Economía,Política Económica. Acciones económicas de las administraciones o de los agentes económicos encaminadas a la mejoría de la situación económica,Positivo,
Trias proposa un salari mínim per als treballadors de Barcelona,Economía,Política Económica. Acciones económicas de las administraciones o de los agentes económicos encaminadas a la mejoría de la situación económica,Positivo,
Trias propone un salario mínimo para los trabajadores de Barcelona,Economía,Política Económica. Acciones económicas de las administraciones o de los agentes económicos encaminadas a la mejoría de la situación económica,Positivo,
William Tian: Estamos comprometidos con el empleo en Europa,Economía,Política Económica. Acciones económicas de las administraciones o de los agentes económicos encaminadas a la mejoría de la situación económica,Positivo,
William Tian: Estem compromesos amb l'ocupació a Europa,Economía,Política Económica. Acciones económicas de las administraciones o de los agentes económicos encaminadas a la mejoría de la situación económica,Positivo,
Carta de un trabajador del Metro: Negociar no significa rendirse,Economía,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…",Positivo,
Carta d'un treballador del Metro: Negociar no significa rendir-se,Economía,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…",Positivo,
El rebut del telèfon s'encareix a canvi de més dades,Economía,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…",Negativo,
El recibo del teléfono se encarece a cambio de más datos,Economía,"Conflictos Económicos: Entre los distintos agentes sociales o entre los agentes sociales y el gobierno. Aquí se recogen todo tipo de noticias sobre huelgas, manifestaciones económicas,…",Negativo,
