Texto,Categoria
"La inflación sube en Europa",Economia
"El precio del alquiler baja en Madrid",Vivienda
"El Ibex 35 cierra con pérdidas",Economia
"Construcción de nuevas viviendas aumenta",Vivienda
"Las exportaciones españolas crecen un 10%",Economia
"El mercado inmobiliario se estabiliza",Vivienda
"El Real Madrid gana la Champions League",Deportes
"España vence a Francia en baloncesto",Deportes
"Nadal anuncia su retirada del tenis",Deportes
"Apple lanza un nuevo iPhone con IA",Tecnologia
"Google presenta avances en computación cuántica",Tecnologia
"Microsoft anuncia actualizaciones en Windows",Tecnologia
"Las elecciones generales serán en diciembre",Politica
"El congreso aprueba una nueva ley de vivienda",Politica
"Se debate la reforma fiscal en el senado",Politica
"Descubren un nuevo exoplaneta habitable",Ciencia
"Avances en la investigación del cáncer",Ciencia
"La NASA prepara una misión a Marte",Ciencia
el precio del aguacate sube,economia
pedro sanchez la lia,Politica
Els danys col·laterals dApple,Politica
"El nombre de passatgers de l'aeroport del Prat creix un 3,6% al febrer",Vivienda
Els 12 'smartphones' més interessants del Mobile World Congress 2015,Politica
Misteris de Facebook,Politica
"Barcelonas Mobile World Congress is record smasher with over 93,000 visitors",Politica
O es connecta o el cotxe ja no val res,Politica
La tecnologia garanteix el progrés?,Politica
Connectant el món físic i el virtual,Politica
Thinking up the future,Politica
Estudiants experts en tecnologia,Tecnologia
"Mark Zuckerberg va sopar aquest dimarts amb la seva parella, Gerard Piqué i Shakira al restaurant Petit Comitè de Barcelona",Politica
El MWC bat tots els rècords amb 93.000 visitants,Politica
Balanç policial del MWC: 14 arrestats i 94 delictes,Vivienda
El MWC fa miques el seu rècord i supera els 93.000 visitants,Politica
Rigau confirma que Ensenyament potenciarà l'ús del mòbil a les escoles,Ciencia
Et costa aprovar una assignatura? Prova l'Airbnb de classes particulars entre universitaris,Politica
Les màquines comencen a parlar entre elles,Politica
Cañí ambition world tour,Politica
Parlem assegura que té més bona acollida de la prevista entre les pimes,Politica
No tens llum? Converteix el mòbil en una càmera termal com les dels militars d'elit,Politica
El president de Flandes destaca la determinació dels catalans per debatre el seu futur de forma democràtica i legal,Politica
"Si tot està connectat, em vigilen? Del control total a través del mòbil als telèfons a prova d'espies",Ciencia
Trobant finançament al MWC,Politica
Zuckerberg torna pel pernil,Politica
El Tinder català és més complet que Tinder,Politica
Pensar en el futur,Politica
Mobile World Congress: els ginys que més t'interessen,Politica
"Marck Zuckerberg a Barcelona, protagonista de les portades de la premsa econòmica",Politica
Vodafone presenta una plataforma per convertir una ciutat mitjana en 'smart city' per 10.000 euros al mes,Politica
"Conversar amb el mòbil, el gran repte pendent del sector",economia
#MWC15: l'actualitat en 12 tuits,Politica
Telefónica vendrà un rellotge intel·ligent perquè els nens puguin estar en contacte amb els pares,Politica
"Els Pujol s'emboliquen al detallar el presumpte llegat, a la portada d''El Periódico'",Politica
Indústria descarta allargar més el termini per reantenitzar,Politica
Movistar TV sintegra amb Windows Phone i podràs cercar-hi les pel·lícules parlant,Politica
El Govern creu que el descens de l'atur està influït pel MWC,Politica
Viquipèdia se suma al MWC al clam per connectar la resta del món,Politica
All trains stop at Fira Gran Via,Politica
El discurs de Netanyahu: l'actualitat en 12 tuits,Politica
Cursa de Facebook i Google per posar internet a tot el món,Politica
Òmnium Cultural reivindica el dret a decidir davant dels assistents al Mobile World Congress,Politica
L'Estat nega pressions a Competència perquè afavoreixi Telefónica en la regulació de la fibra,Politica
Ada Colau al telèfon,Politica
