Texto,Categoria
La estrategia de Aragonès muestra sus debilidades en el Parlament,Política
L'estrategia d'Aragonès mostra les seves debilitats al Parlament,Política
Aragonès planta a Sánchez y confirma que no asistirá a la Conferencia de Presidentes,Política
Aragonès planta a Sànchez i confirma que no assistirà a la Coferència de Presidents,Política
El Rey reanuda su agenda tras el covid con luto por los pescadores fallecidos,Política
El Rei repren la seva agenda desprès del covid amb dol pels pescadors morts,Política
Illa confia que Barcelona pugui retenir el MWC més enllà del 2030 si les coses es fan ben fetes,Política
Illa confía que Barcelona pueda retener el MWC más allá del 2030 si las cosas se hacen bien hechas,Política
El govern espanyol confia a tenir operativa l'empresa pública tecnològica a partir del maig,Política
El gobierno español confia tener operativa la empresa pública tecnológica a partir de mayo,Política
El Rey rinde homenaje a las mujeres juristas,Política
El Rei rendeix homenatge a les dones juristes,Política
El Govern no descarta decretar un aumento de los servicios mínimos ante la huelga en caso de necesidad,Política
El Govern no descarta decretar un augment dels serveis mínims amb motiu de la vaga en cas de necessitat,Política
El Govern remarca que con los indultos se abre una nueva etapa de diálogo,Política
El Gover remarca que amb els indults s'obre una nova etapa de diàleg,Política
Pere Aragonès no está presente en la recepción al rey en el Mobile World Congress de Barcelon,Política
Pere Aragonès no està present a la recepció del rei al Mobile World Congress de Barcelona,Política
¿Lo imposible o lo viable? La reconversión independentista,Política
Allò impossible o allò viable? la reconversió independentista,Política
Feijóo sobre el pacto de inmigración: Es la cesión más grave,Política
Feijóo sobre el pacte d'inmigració: és la cessió més greu,Política
Òmnium Cultural reparte trípticos sobre el proceso independentista en el Mobile World Congress,Política
Omnium Cultural reparteix tríptics sobre el procés independentista al Mobile World Congress,Política
"Unió Europea, cap on vas?",Política
"Unión Europea, ¿dónde vas?",Política
El PSC promoverá una resolución de apoyo al congreso y carga contra Colau,Política
El PSC promourà una ressolució de suport al congrés i carrega contra Colau,Política
José Manuel Soria espera que el PSOE opte por una coalición con el PP y no haya elecciones,Política
José Manuel Soria espera que el PSOE opti per una coalició amb el PP i no hi hagi eleccions,Política
Aragonès y Colau eluden recibir al Rey antes de la cena del MWC,Política
Aragonès i Colau eviten rebre al Rei abans del sopar del MWC,Política
Carmena deja sola a Cifuentes en su idea de arrebatar el MWC a Barcelona,Política
Carmena deixa sola a Cifuentes en la seva idea d'arrabassar el MWC a Barcelona,Política
Pancartas en favor de los presos del 1-O en un acto del presidente del TC en Madrid y la ministra Delgado,Política
Pancartes en favor dels presos del 1-O en un acte del president del TC a Madridy la ministra Delgado,Política
El conflicto entre EE.UU. y China por Huawei y el 5G es el primer episodio de una pugna que puede durar años,Política
El conflicte entre els EUA i Xina per Huawei i el 5G és el primer episodi d'una pugna que pot durar anys,Política
España retrocede dos puestos en el ranking de innovación de la UE,Política
Espanya retrocedeix dues posicions en el rànking d'innovació de la UE,Política
El Mobile engega amb un missatge de suport a Ucraïna,Política
El Mobile arranca con un mensaje de apoyo a Ucrania,Política
Collboni evita condemnar la participació d'Israel al Mobile,Política
Collboni evita condenar la participación de Israel en la Mobile,Política
Collboni cree que la querella contra Colau por las subvenciones quedará en nada,Política
Collboni creu que la querella contra Colau per les subvencions quedarà en no res,Política
"Junqueras libre, ¿Puigdemont vuelve?",Política
"Junqueras lluire, Puigdemont torna?",Política
Soria tras la detención de Alfonso Grau: Cada cual debe responder ante la Justicia,Política
Soria desprès de la detenció d'Alfons Grau: Cadascú deu respondre davant de la Justícia,Política
Apostemos por la tecnología como motor económico,Economía
Apostem per la tecnologia com a motor econòmic,Economía
Trias proposa un salari mínim per als treballadors de Barcelona,Economía
Trias propone un salario mínimo para los trabajadores de Barcelona,Economía
William Tian: Estamos comprometidos con el empleo en Europa,Economía
William Tian: Estem compromesos amb l'ocupació a Europa,Economía
Carta de un trabajador del Metro: Negociar no significa rendirse,Economía
Carta d'un treballador del Metro: Negociar no significa rendir-se,Economía
El rebut del telèfon s'encareix a canvi de més dades,Economía
El recibo del teléfono se encarece a cambio de más datos,Economía
La IA pot destruir 400.000 llocs de treball a Espanya la pròxima dècada,Economía
La IA puede destruir 400.000 puestos de trabajo en España en la próxima década,Economía
No serem ingenus: Cuerpo garanteix protecció a la indústria davant de possibles aranzels,Economía
No seremos ingenuos: Cuerpo garantiza la protección a la industria ante posibles aranceles,Economía
Cuerpo asegura que Europa reaccionará si hay aranceles: Protegeremos a la industria,Economía
Cuerpo assegura que Europa reaccionarà si hi ha aranzels: Protegirem la indústria,Economía
"España, el segundo país de Europa más caro en banda ancha",Economía
"Espanya, el segon pais d'Europa més car en banda ampla",Economía
La patronal de las VTC amenaza la jornada inaugural del Mobile World Congress,Economía
La patronal de les VTC amenaça la jornada inaugural del Mobile World Congress,Economía
Els taxistes denuncien l'augment de l'intrusisme durant el Mobile World Congress,Economía
Los taxistas denuncian el aumento del intrusismo durante el Mobile World Congress,Economía
Murtra s'estrena al Mobile reclamant a la UE facilitar les fusions de 'telecos',Economía
Murtra se estrena en el Mobile reclamando a la UE facilitar las fusiones de las 'telecos',Economía
Barcelona pide a los Mossos que combatan el top manta,Economía
Barcelona demana als Mossos que combateixin el top manta,Economía
Elon Musk necesita de 20.000 a 30.000 millones de dólares para su internet por satélite,Economía
Elon Musk necessita de 20.000 a 30.000 milions de dòlars per al seu interet per satèl·lit,Economía
"Dos empresarios suecos, inquilinos de la casa Batlló",Economía
"Dos empresaris suecs, inquilins de la casa Batlló",Economía
Barcelona optará a ser sede de la Copa América de vela del 2024,Economía
Barcelona optarà a ser la seu de la Copa America de vela del 2024,Economía
Sexo y Cannabis: colocón antes del revolcón,Sociedad
Sexe i Cannavis: col·locada abans de la revolcada,Sociedad
"Jon Bon Jovi, 60 años cantando su vida",Sociedad
"Jon Bon Jovi, 60 anys cantant la seva vida",Sociedad
Porro World Congress,Sociedad
Barcelona organizará el primer congreso mundial de blockchain,Sociedad
Barcelona organitzarà el primer congrés mundial de blockchain,Sociedad
Protesta de la Guardia Urbana a las puertas del Mobile,Sociedad
Activistas de Femem claman contra el sexismo de Facebook,Sociedad
200 urbanos se manifiestan en Barcelona para pedir formación ante alertas terroristas,Sociedad
"La T-Mobilitat, una tomadura de pelo",Sociedad
"El regreso de los rezos a la escuela, en el diario del viernes",Sociedad
Protesta de la Guàrdia Urbana a les portes del Mobile,Sociedad
Activistes de Femen clamen contra el sexisme de Facebook,Sociedad
200 urbans es manifesten a Barcelona per demanar formació davant alertes terroristes,Sociedad
"La T-Mobilitat, una presa de pèl",Sociedad
El futuro del fútbol: espinilleras conectadas para conocer el rendimiento de los jugadores,Tecnología No Mobile
"Internet es libre... y bla, bla, bla",Tecnología No Mobile
"Telefónica ficha a Nadal, Rossi, Lorenzo y Valverde",Tecnología No Mobile
El acuerdo para el despliegue del 5G,Tecnología No Mobile
EEUU rechaza las dos velocidades,Tecnología No Mobile
La Generalitat apuesta por el uso del móvil como instrumento pedagógico en las aulas,Tecnología No Mobile
EEUU defiende que la neutralidad de la red beneficia a todos,Tecnología No Mobile
L'hospital podrà operar a distància gràcies al 5G,Tecnología No Mobile
El futur del futbòl: gamberes connectades per a conèixer el rendiment dels jugadors,Tecnología No Mobile
"Internet és lliure... i bla, bla, bla",Tecnología No Mobile
"Telefònica fitxa a Nadal, Rossi, Lorenzo i Valverde",Tecnología No Mobile
L'acord per al següent desplegament del 5G,Tecnología No Mobile
Els EUA refusa les dues velocitats,Tecnología No Mobile
La Generalitat aposta per l'ús del mòbil com a instrument pedagògic a les aules,Tecnología No Mobile
Els EUA defensen que la neutralitat de la xarxa beneficia a tothom,Tecnología No Mobile
El Mobile World Congress 2015 cierra con más de 93.000 visitantes,Mobile World Congress operativa
Jornada masiva en el Mobile,Mobile World Congress operativa
La décima edición de la feria de móviles bate todos los récords,Mobile World Congress operativa
El Mobile World Congress 2017 bat tots els rècords amb 108.000 visitants,Mobile World Congress operativa
Las nevadas dejan el YoMo con el 40% menos de asistentes,Mobile World Congress operativa
"Barcelonas Mobile World Congress is record smasher with over 93,000 visitors",Mobile World Congress operativa
Viquipèdia se suma al MWC al clam per connectar la resta del món,Mobile World Congress operativa
El MWC bat tots els rècords amb 93.000 visitants,Mobile World Congress operativa
El Mobile World Congress 2015 tanca amb més de 93.000 visitants,Mobile World Congress operativa
Jornada massiva a la Mobile,Mobile World Congress operativa
La desena edició de la fira de mòbils bat tots els récords,Mobile World Congress operativa
Les nevades deixen el YoMo amb el 40% menys d'assistents,Mobile World Congress operativa
El Mobile World Congress de Barcelona trenca records amb més de 93.000 assistents,Mobile World Congress operativa
Panasonic presenta un híbrido entre cámara de fotos y teléfono móvil,Mobile World Congress operativa
Motorola lanza una nueva versión del Moto E con un procesador más potente y conexión 4G LTE,Mobile World Congress operativa
El grafeno exhibe sus potenciales para la industria móvil,Mobile World Congress operativa
Nokia resurge con tres 'smartphones' y el relanzamiento de un clásico,Mobile World Congress operativa
Sony reinventa su división móvil en el MWC con el Xperia X1,Mobile World Congress operativa
NH Hoteles presenta un sistema de conferencias con hologramas,Mobile World Congress operativa
Movistar TV integra el asistente de voz Cortana de Microsoft,Mobile World Congress operativa
Movistar TV sintegra amb Windows Phone i podràs cercar-hi les pel·lícules parlant,Mobile World Congress operativa
"Mòbils, tauletes i bicis elèctriques: les primeres novetats del MWC",Mobile World Congress operativa
Els 12 'smartphones' més interessants del Mobile World Congress 2015,Mobile World Congress operativa
Motorola llença una nova versión del Moto E amb un processador més potent i connexió 4G LTE,Mobile World Congress operativa
Panasonic presenta un híbrid entre càmara de fotos i telèfon mòbil,Mobile World Congress operativa
El grafè exhibeix els seus potencials per l'indústria mòbil,Mobile World Congress operativa
Nokia ressorgeix amb tres smartphones i el rellançament d'un clàssic,Mobile World Congress operativa
Snoy reinventa la seva divisió mòbil al MWC amb el Xperia X1,Mobile World Congress operativa
NH presenta un sistema de conferències amb hologrames,Mobile World Congress operativa
Movistar TV integra 'assistent de veu Cortana de Microsoft,Mobile World Congress operativa
"El rei Felip VI, Quim Torra i Pedro Sánchez inauguren el Mobile World Congress",Mobile World Congress operativa
"El rey Felipe VI, Quim Torra y Pedro Sánchez inauguran el Mobile World Congress",Mobile World Congress operativa
El Rey ensalza BCM como referente del empuje emprendedor español,Mobile World Congress operativa
"El Rey alaba BCN como ""referente emprendedor""",Mobile World Congress operativa
"Xiaomi, el gran ausente del MWC",Mobile World Congress operativa
Colau plantará a Felip VI en la rebuda oficial per l'MWC,Mobile World Congress operativa
Alcatel abre la puerta del MWC presentando tres nuevas series de producto,Mobile World Congress operativa
Colau rechaza rendir pleitesía al Rey,Mobile World Congress operativa
Un alto cargo del Gobern no irá al Mobile en protesta por el Rey,Mobile World Congress operativa
"Mark Zuckerberg va sopar aquest dimarts amb la seva parella, Gerard Piqué i Shakira al restaurant Petit Comitè de Barcelona",Mobile World Congress operativa
Zuckerberg conecta con Shakira y Piqué,Mobile World Congress operativa
El rei exalça BCN com a referent de l'empenta emprenedora espanyola,Mobile World Congress operativa
"El rei lloa BCN com ""referent emprenedor""",Mobile World Congress operativa
Colau plantará a Felipe VI en la recepción oficial para la MWC,Mobile World Congress operativa
Alcatel obre la porta del MWC presentant tres noves sèries de producte,Mobile World Congress operativa
Colau rebutja retre homenatge al Rei,Mobile World Congress operativa
Un alt càrrec del Gobern no anirà al Mobile en protesta pel Rei,Mobile World Congress operativa
"Mark Zuckerberg cenará este martes con su pareja, Gerard Piqué y Shakiera en el restaurante Petit Comitè de Barcelona",Mobile World Congress operativa
Zuckerberg connecta amb Shakira i Piqué,Mobile World Congress operativa
Google trabaja en llevar internet a tood el mundo con globos y aviones,Mobile World Congress operativa
Bienvenidos al mundo Beta,Mobile World Congress operativa
Tendencias tecnologógicas y actividades en el Mobile World Congress (MWC2015),Mobile World Congress operativa
El 4YFN acaba consolidado como plataforma global de 'start-ups',Mobile World Congress operativa
El sector de las 'start-ups' despunta cuatro años después del 4YFN,Mobile World Congress operativa
"Volem connectar l'altra meitat del planeta, la conferència de Zuckerberg al MWC, en 8 frases",Mobile World Congress operativa
Google treballa per portar internet a tot el món amb globus i avions,Mobile World Congress operativa
Benvinguts al món Beta,Mobile World Congress operativa
Tendències tecnológiques i activitats en el Mobile World Congress (MWC2015),Mobile World Congress operativa
El 4YFN acaba consolidat com plataforma global d'start-ups,Mobile World Congress operativa
"Queremos conectar con la otra mitad del planeta, la conferencia de Zuckerberg en el MWC, en 8 frases",Mobile World Congress operativa
MWC: la cita de la tecnología móvil,Mobile World Congress operativa
Los móviles estrella de la Mobile,Mobile World Congress operativa
Qui controla que es mengi bé al Mobile World Congress?,Mobile World Congress operativa
Las claves de la feria del móvil,Mobile World Congress operativa
Tegnología en masculí,Mobile World Congress operativa
Renée Jiménez: La feria de móviles no es solo para hombres,Mobile World Congress operativa
Muchas universidades dan asignaturas que no tienen ninguna utilidad futura,Mobile World Congress operativa
Beatriz de York habla del empoderamiento femenino en su viaje a Barcelona,Mobile World Congress operativa
Cae hasta el 23% la participación de mujeres en el Mobile World Congress,Mobile World Congress operativa
Mobile Women Congress,Mobile World Congress operativa
Un Mobile más femenino y joven,Mobile World Congress operativa
Más dinero que ideas,Mobile World Congress operativa
Una visió del Mobile World Congress,Mobile World Congress operativa
Las mujeres piden más poder de decisión sobre la tecnología,Mobile World Congress operativa
Barcelona da la bienvenida al Mobile World Congress,Mobile World Congress operativa
Mujeres contra testosterona digital,Mobile World Congress operativa
