Texto,Label
La estrategia de Aragonès muestra sus debilidades en el Parlament,Neutro
L'estrategia d'Aragonès mostra les seves debilitats al Parlament,Neutro
Aragonès planta a Sánchez y confirma que no asistirá a la Conferencia de Presidentes,Negativo
Aragonès planta a Sànchez i confirma que no assistirà a la Coferència de Presidents,Negativo
El Rey reanuda su agenda tras el covid con luto por los pescadores fallecidos,Positivo
El Rei repren la seva agenda desprès del covid amb dol pels pescadors morts,Positivo
Illa confia que Barcelona pugui retenir el MWC més enllà del 2030 si les coses es fan ben fetes,Positivo
Illa confía que Barcelona pueda retener el MWC más allá del 2030 si las cosas se hacen bien hechas,Positivo
El govern espanyol confia a tenir operativa l'empresa pública tecnològica a partir del maig,Positivo
El gobierno español confia tener operativa la empresa pública tecnológica a partir de mayo,Positivo
El Rey rinde homenaje a las mujeres juristas,Positivo
El Rei rendeix homenatge a les dones juristes,Positivo
El Govern no descarta decretar un aumento de los servicios mínimos ante la huelga en caso de necesidad,Positivo
El Govern no descarta decretar un augment dels serveis mínims amb motiu de la vaga en cas de necessitat,Positivo
El Govern remarca que con los indultos se abre una nueva etapa de diálogo,Neutro
El Gover remarca que amb els indults s'obre una nova etapa de diàleg,Neutro
Pere Aragonès no está presente en la recepción al rey en el Mobile World Congress de Barcelon,Negativo
Pere Aragonès no està present a la recepció del rei al Mobile World Congress de Barcelona,Negativo
¿Lo imposible o lo viable? La reconversión independentista,Neutro
Allò impossible o allò viable? la reconversió independentista,Neutro
Feijóo sobre el pacto de inmigración: Es la cesión más grave,Neutro
Feijóo sobre el pacte d'inmigració: és la cessió més greu,
Òmnium Cultural reparte trípticos sobre el proceso independentista en el Mobile World Congress,Neutro
Omnium Cultural reparteix tríptics sobre el procés independentista al Mobile World Congress,Neutro
"Unió Europea, cap on vas?",Neutro
"Unión Europea, ¿dónde vas?",Neutro
El PSC promoverá una resolución de apoyo al congreso y carga contra Colau,Neutro
El PSC promourà una ressolució de suport al congrés i carrega contra Colau,Neutro
José Manuel Soria espera que el PSOE opte por una coalición con el PP y no haya elecciones,Neutro
José Manuel Soria espera que el PSOE opti per una coalició amb el PP i no hi hagi eleccions,Neutro
Aragonès y Colau eluden recibir al Rey antes de la cena del MWC,Negativo
Aragonès i Colau eviten rebre al Rei abans del sopar del MWC,Negativo
Carmena deja sola a Cifuentes en su idea de arrebatar el MWC a Barcelona,Neutro
Carmena deixa sola a Cifuentes en la seva idea d'arrabassar el MWC a Barcelona,Neutro
Pancartas en favor de los presos del 1-O en un acto del presidente del TC en Madrid y la ministra Delgado,
Pancartes en favor dels presos del 1-O en un acte del president del TC a Madridy la ministra Delgado,
El conflicto entre EE.UU. y China por Huawei y el 5G es el primer episodio de una pugna que puede durar años,Negativo
El conflicte entre els EUA i Xina per Huawei i el 5G és el primer episodi d'una pugna que pot durar anys,Negativo
España retrocede dos puestos en el ranking de innovación de la UE,Negativo
Espanya retrocedeix dues posicions en el rànking d'innovació de la UE,Negativo
El Mobile engega amb un missatge de suport a Ucraïna,Positivo
El Mobile arranca con un mensaje de apoyo a Ucrania,Positivo
Collboni evita condemnar la participació d'Israel al Mobile,Neutro
Collboni evita condenar la participación de Israel en la Mobile,Neutro
Collboni cree que la querella contra Colau por las subvenciones quedará en nada,Neutro
Collboni creu que la querella contra Colau per les subvencions quedarà en no res,Neutro
"Junqueras libre, ¿Puigdemont vuelve?",Neutro
"Junqueras lluire, Puigdemont torna?",Neutro
Soria tras la detención de Alfonso Grau: Cada cual debe responder ante la Justicia,Neutro
Soria desprès de la detenció d'Alfons Grau: Cadascú deu respondre davant de la Justícia,Neutro
Apostemos por la tecnología como motor económico,Positivo
Apostem per la tecnologia com a motor econòmic,Positivo
Trias proposa un salari mínim per als treballadors de Barcelona,Positivo
Trias propone un salario mínimo para los trabajadores de Barcelona,Positivo
William Tian: Estamos comprometidos con el empleo en Europa,Positivo
William Tian: Estem compromesos amb l'ocupació a Europa,Positivo
Carta de un trabajador del Metro: Negociar no significa rendirse,Positivo
Carta d'un treballador del Metro: Negociar no significa rendir-se,Positivo
El rebut del telèfon s'encareix a canvi de més dades,Negativo
El recibo del teléfono se encarece a cambio de más datos,Negativo
La IA pot destruir 400.000 llocs de treball a Espanya la pròxima dècada,Negativo
La IA puede destruir 400.000 puestos de trabajo en España en la próxima década,Negativo
No serem ingenus: Cuerpo garanteix protecció a la indústria davant de possibles aranzels,Negativo
No seremos ingenuos: Cuerpo garantiza la protección a la industria ante posibles aranceles,
Cuerpo asegura que Europa reaccionará si hay aranceles: Protegeremos a la industria,Neutro
Cuerpo assegura que Europa reaccionarà si hi ha aranzels: Protegirem la indústria,Neutro
"España, el segundo país de Europa más caro en banda ancha",Negativo
"Espanya, el segon pais d'Europa més car en banda ampla",Negativo
La patronal de las VTC amenaza la jornada inaugural del Mobile World Congress,Negativo
La patronal de les VTC amenaça la jornada inaugural del Mobile World Congress,Negativo
Els taxistes denuncien l'augment de l'intrusisme durant el Mobile World Congress,Negativo
Los taxistas denuncian el aumento del intrusismo durante el Mobile World Congress,Negativo
Murtra s'estrena al Mobile reclamant a la UE facilitar les fusions de 'telecos',Negativo
Murtra se estrena en el Mobile reclamando a la UE facilitar las fusiones de las 'telecos',Negativo
Barcelona pide a los Mossos que combatan el top manta,Negativo
Barcelona demana als Mossos que combateixin el top manta,Negativo
